Genre,MovieName,tags,language
Action Adventure Fantasy Sci-Fi,avatar,Action Adventure Fantasy Sci-Fi James Cameron CCH Pounder Joel David Moore Wes Studi,en
Action Adventure Fantasy,pirates of the caribbean: at world's end,Action Adventure Fantasy Gore Verbinski Johnny Depp Orlando Bloom Jack Davenport,en
Action Adventure Thriller,spectre,Action Adventure Thriller Sam Mendes Christoph Waltz Rory Kinnear Stephanie Sigman,en
Action Thriller,the dark knight rises,Action Thriller Christopher Nolan Tom Hardy Christian Bale Joseph Gordon-Levitt,en
Documentary,star wars: episode vii - the force awakens,Documentary Doug Walker Doug Walker Rob Walker,en
Action Adventure Sci-Fi,john carter,Action Adventure Sci-Fi Andrew Stanton Daryl Sabara Samantha Morton Polly Walker,en
Adventure Animation Comedy Family Fantasy Musical Romance,tangled,Adventure Animation Comedy Family Fantasy Musical Romance Nathan Greno Brad Garrett Donna Murphy M.C. Gainey,en
Action Adventure Sci-Fi,avengers: age of ultron,Action Adventure Sci-Fi Joss Whedon Chris Hemsworth Robert Downey Jr. Scarlett Johansson,en
Adventure Family Fantasy Mystery,harry potter and the half-blood prince,Adventure Family Fantasy Mystery David Yates Alan Rickman Daniel Radcliffe Rupert Grint,en
Action Adventure,quantum of solace,Action Adventure Marc Forster Giancarlo Giannini Mathieu Amalric Rory Kinnear,en
Action Adventure Fantasy,pirates of the caribbean: dead man's chest,Action Adventure Fantasy Gore Verbinski Johnny Depp Orlando Bloom Jack Davenport,en
Action Adventure Western,the lone ranger,Action Adventure Western Gore Verbinski Johnny Depp Ruth Wilson Tom Wilkinson,en
Action Adventure Fantasy Sci-Fi,man of steel,Action Adventure Fantasy Sci-Fi Zack Snyder Henry Cavill Christopher Meloni Harry Lennix,en
Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,Action Adventure Family Fantasy Andrew Adamson Peter Dinklage Pierfrancesco Favino Damián Alcázar,en
Action Adventure Fantasy,pirates of the caribbean: on stranger tides,Action Adventure Fantasy Rob Marshall Johnny Depp Sam Claflin Stephen Graham,en
Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,Action Adventure Comedy Family Fantasy Sci-Fi Barry Sonnenfeld Will Smith Michael Stuhlbarg Nicole Scherzinger,en
Adventure Fantasy,the hobbit: the battle of the five armies,Adventure Fantasy Peter Jackson Aidan Turner Adam Brown James Nesbitt,en
Action Adventure Fantasy,the amazing spider-man,Action Adventure Fantasy Marc Webb Emma Stone Andrew Garfield Chris Zylka,en
Action Adventure Fantasy,The Amazing Spider-Man,Action Adventure Fantasy Marc Webb Emma Stone Andrew Garfield Chris Zylka,en
Action Adventure Drama History,robin hood,Action Adventure Drama History Ridley Scott Mark Addy William Hurt Scott Grimes,en
Adventure Fantasy,the hobbit: the desolation of smaug,Adventure Fantasy Peter Jackson Aidan Turner Adam Brown James Nesbitt,en
Adventure Family Fantasy,the golden compass,Adventure Family Fantasy Chris Weitz Christopher Lee Eva Green Kristin Scott Thomas,en
Drama Romance,titanic,Drama Romance James Cameron Leonardo DiCaprio Kate Winslet Gloria Stuart,en
Action Adventure Sci-Fi,Spider-Man: Homecoming,Action Adventure Sci-Fi Jon Watts Tom Holland Michael Keaton Zendaya,en
Action Adventure Sci-Fi,captain america: civil war,Action Adventure Sci-Fi Anthony Russo Robert Downey Jr. Scarlett Johansson Chris Evans,en
